TRDAR_NO,TRDAR_NM,SIGNGU_NM,DATA_STRD_YM,GRFA_SM,RSDNTL_BULD_GRFA,RSDNTL_BULD_EXCL_GRFA,MOAV_TOTL_LVLH_POPNO,MOAV_NAOR_LVLH_POPNO,MOAV_STPRD_FRNR_LVLH_POPNO,MOAV_LOPRD_FRNR_LVLH_POPNO,ZERO_TIZN_TOTL_LVLH_POPNO,ONE_TIZN_TOTL_LVLH_POPNO,TWO_TIZN_TOTL_LVLH_POPNO,THREE_TIZN_TOTL_LVLH_POPNO,FOUR_TIZN_TOTL_LVLH_POPNO,FIVE_TIZN_TOTL_LVLH_POPNO,SIX_TIZN_TOTL_LVLH_POPNO,SEVEN_TIZN_TOTL_LVLH_POPNO,EIGHT_TIZN_TOTL_LVLH_POPNO,NINE_TIZN_TOTL_LVLH_POPNO,TEN_TIZN_TOTL_LVLH_POPNO,ELEVEN_TIZN_TOTL_LVLH_POPNO,TLV_TIZN_TOTL_LVLH_POPNO,THIRTEEN_TIZN_TOTL_LVLH_POPNO,FOURTEEN_TIZN_TOTL_LVLH_POPNO,FFTN_TIZN_TOTL_LVLH_POPNO,SXTN_TIZN_TOTL_LVLH_POPNO,SVNTN_TIZN_TOTL_LVLH_POPNO,EGHTN_TIZN_TOTL_LVLH_POPNO,NNTN_TIZN_TOTL_LVLH_POPNO,TNT_TIZN_TOTL_LVLH_POPNO,TNONE_TIZN_TOTL_LVLH_POPNO,TNTT_TIZN_TOTL_LVLH_POPNO,TNTTH_TIZN_TOTL_LVLH_POPNO,peak_hour_col,day_ratio,night_ratio,foreigner_ratio,population_density,short_foreigner_ratio,visitor_ratio,visit_intensity,transition_ratio
10000,목동역1번 출구,양천구,202510,207580.66,64851.08,142729.58,5257.94,5125.8,12.32,121.2,5067.98,5528.96,5546.36,5416.49,5371.57,5054.26,4842.47,4758.1,4635.54,4876.7,4974.99,5183.31,5238.92,5238.02,5330.32,5480.25,5648.19,5650.74,5518.66,5486.08,5513.01,5460.8,5260.37,5108.45,SVNTN_TIZN_TOTL_LVLH_POPNO,0.37737725823187696,0.256337519436877,0.02539397558739735,0.025329623674960854,0.0023431229721145547,0.7075299451876591,0.017921467250369087,0.3662852223312461
10001,까치산역2번 출구,강서구,202510,128728.71,69566.61,59162.1,13935.64,13401.64,182.55,353.3,13764.03,13338.58,12875.84,13012.73,13233.66,14201.18,13958.88,14030.48,13451.22,13051.78,12908.3,13175.56,13230.76,13155.6,13371.79,13725.98,14272.42,14630.13,15182.22,15407.5,15260.39,15453.81,15577.68,14183.93,TNTT_TIZN_TOTL_LVLH_POPNO,0.36334490391740937,0.2722808143231462,0.03845176827185547,0.10825588169103845,0.013099506014793724,0.6457005203923178,0.06990087914343272,0.3643742817594443
10002,서울화곡4동우체국,강서구,202510,95733.53,37339.88,58393.65,1012.56,981.59,2.15,30.34,977.88,973.22,961.56,955.63,955.01,952.69,964.34,970.67,944.85,955.2,973.69,986.18,983.62,986.91,1004.89,1032.18,1078.52,1102.98,1116.19,1143.24,1109.1,1077.49,1059.12,1017.98,NNTN_TIZN_TOTL_LVLH_POPNO,0.3749173294722182,0.2686275333420637,0.03208698743778147,0.01057685849461521,0.002123330963103421,0.655358694793395,0.0069316361780454566,0.3564551371857182
10003,우장산역4번 출구,강서구,202510,82426.18,24010.56,58415.62,1227.44,1212.81,3.64,11.85,1053.0,1057.95,1050.15,1050.83,1058.63,1053.37,1022.97,1082.09,1140.62,1195.58,1284.92,1313.05,1286.3,1284.04,1246.33,1256.19,1323.77,1403.31,1487.05,1481.64,1424.73,1418.13,1411.56,1072.31,EGHTN_TIZN_TOTL_LVLH_POPNO,0.39355303660876373,0.2815966314668897,0.012619761454735059,0.014891385237069099,0.0029655217362966825,0.7097047513524083,0.010568486856967048,0.3248503319243465
10004,서울화곡본동우편취급국,강서구,202510,119223.18,13447.84,105775.34,2628.53,2526.74,29.53,72.42,2962.14,2826.2,2724.04,2635.66,2533.95,2475.63,2430.65,2452.18,2537.12,2512.17,2499.49,2515.94,2462.69,2439.26,2432.99,2443.5,2509.15,2580.66,2639.73,2783.54,2836.91,2837.09,2816.94,3197.1,TNTTH_TIZN_TOTL_LVLH_POPNO,0.3550122192803235,0.2712432945341924,0.03878593738705664,0.022047138819816754,0.011234416194603067,0.8917645984637801,0.019660857896929108,0.3737444861854842
10009,발산역9번 출구,강서구,202510,12913.49,0.0,12913.49,2324.51,2226.91,49.64,47.95,620.49,602.58,571.72,566.71,587.59,690.33,956.19,1840.92,2792.75,3275.52,3555.57,3706.24,3888.63,3983.75,3975.02,3773.52,3707.05,3675.29,3303.83,2811.2,2436.78,2103.79,1664.83,697.9,THIRTEEN_TIZN_TOTL_LVLH_POPNO,0.6012129805227627,0.23335275201565917,0.04198304158725925,0.18000633446109457,0.021355038266129205,1.0,0.18000633446109457,0.16543426746157788
10010,마곡나루역1번 출구,강서구,202510,25610.0,0.0,25610.0,12918.33,12448.59,220.88,248.86,7218.47,6945.66,6870.3,6811.85,6897.68,7188.47,7973.86,10146.06,13586.2,15882.54,17219.1,18259.91,19431.42,19953.16,19876.6,19470.14,18968.62,17654.69,15627.27,14187.87,12504.34,10668.8,9273.1,7423.91,THIRTEEN_TIZN_TOTL_LVLH_POPNO,0.5377247105067275,0.22476224198411543,0.03636228521798096,0.5044252245216713,0.017098185291752107,1.0,0.5044252245216713,0.23751304750915703
10011,방신재래시장,강서구,202510,97219.22,41283.63,55935.59,2095.92,2054.4,15.37,26.79,1423.67,1373.25,1314.58,1280.78,1219.15,1252.61,1424.66,1702.02,1868.42,2131.59,2269.75,2434.99,2512.11,2577.31,2635.34,2699.28,2789.34,2833.53,2829.69,2774.12,2666.56,2535.17,2303.52,1448.96,SVNTN_TIZN_TOTL_LVLH_POPNO,0.45493157112070676,0.28942155529578295,0.020115271575250962,0.021558700018370854,0.007333295163937555,0.479760677888469,0.01034301653520775,0.2556468735835103
10012,이비카드터미널시외터미널,구로구,202510,1592749.53,40204.0600000001,1552545.47,18196.41,16732.65,270.73,1193.13,10175.74,9874.37,9558.59,9388.94,9251.12,9338.67,9777.08,12787.4,19829.15,23781.09,25457.48,26849.61,27681.91,27851.73,27818.48,27275.5,26607.49,24867.62,21344.11,18988.11,17330.67,15820.01,14341.6,10717.29,THIRTEEN_TIZN_TOTL_LVLH_POPNO,0.5454165446950883,0.22564388628377552,0.08044773666893636,0.011424526993895895,0.014878209492971417,0.9790502632112599,0.01118518616043792,0.22893956902113646
10013,가산디지털단지역3번 출구,금천구,202510,155287.65,2250.63,153037.02,1592.11,1420.78,25.96,145.37,652.64,635.04,629.27,630.64,611.7,612.04,720.2,1044.71,1644.51,2087.0,2364.77,2616.82,2787.48,2847.73,2830.71,2745.44,2639.86,2409.79,2018.72,1612.68,1333.14,1099.9,964.06,671.85,THIRTEEN_TIZN_TOTL_LVLH_POPNO,0.6105514947383848,0.20152339527933277,0.1076119112372889,0.010252650484439683,0.016305406033502712,0.985509795177469,0.01010408747894633,0.18792510998228246
10014,서울구로4동우체국,구로구,202510,222481.22,27520.99,194960.23,5008.53,3718.22,73.58,1216.97,3989.09,3935.25,3878.73,3873.22,3792.09,3675.68,3825.46,4201.54,4833.19,5406.09,5774.62,5970.24,5981.1,6225.53,6359.56,6340.33,6265.81,6044.01,5680.34,5366.29,5049.11,4881.86,4699.23,4156.33,FOURTEEN_TIZN_TOTL_LVLH_POPNO,0.452289219972264,0.24818630219949808,0.2576704142732498,0.022512147317423015,0.01469093726103268,0.8175233052412585,0.018404205083017794,0.29952447782823804
10015,서울문래동우체국,영등포구,202510,51505.38,1907.87,49597.51,1079.19,1021.47,12.3,45.43,603.41,571.71,555.91,552.72,558.3,602.2,679.52,889.65,1136.59,1271.75,1341.77,1381.17,1438.11,1468.98,1514.73,1568.12,1583.38,1533.91,1430.4,1338.01,1228.29,1097.08,913.61,641.29,SXTN_TIZN_TOTL_LVLH_POPNO,0.5058537231362505,0.25669974568166537,0.053493824071757526,0.020952956759080314,0.01139743696661385,0.9553276068162232,0.020016938036376008,0.23744653118208414
10016,오목교역8번 출구,양천구,202510,391860.35,281933.25,109927.1,5645.58,5548.93,14.62,83.72,3120.91,3083.69,2968.77,2902.56,2879.6,2915.86,3202.75,4334.89,5323.73,6023.26,6582.39,7082.9,7415.92,7749.65,7922.19,8075.19,8327.74,8429.69,8293.04,7749.57,7004.27,6084.24,4730.98,3289.69,SVNTN_TIZN_TOTL_LVLH_POPNO,0.49898290308876847,0.2741961458219244,0.01741893658401794,0.014407122333249589,0.002589636494390302,0.5193319375511461,0.007482078755862899,0.22682095108930694
10017,목1지구대,양천구,202510,151458.13,103264.11,48194.02,3375.99,3342.43,4.01,29.58,3200.83,3194.17,3188.66,3171.5,3186.73,3133.64,3066.51,3027.37,3342.95,3510.29,3542.22,3519.4,3519.57,3541.6,3585.91,3556.84,3552.07,3598.49,3597.27,3617.06,3514.93,3468.48,3125.32,3262.06,NNTN_TIZN_TOTL_LVLH_POPNO,0.3940368437103782,0.2540624139528265,0.009949674021546272,0.022289922634063947,0.0011877997268949256,0.38836015509524613,0.008656517811226111,0.35190074233679536
10018,등촌역4번 출구,양천구,202510,125322.64,51122.3,74200.34,2978.76,2935.62,5.73,38.16,2130.81,2127.36,2091.68,2103.25,2126.21,2165.99,2178.91,2379.89,2750.18,3057.03,3320.85,3575.36,3649.43,3719.66,3779.94,3801.16,3884.4,3845.97,3723.67,3581.86,3337.32,3079.17,2910.32,2169.89,SXTN_TIZN_TOTL_LVLH_POPNO,0.4564786472460393,0.2630038952132114,0.014734318978366837,0.023768730055479203,0.0019236192241066752,0.67992050383381,0.016160846914811244,0.2805174575407492
10019,시흥1동주민센터,금천구,202510,126180.85,14736.37,111444.48,1612.81,1477.86,8.11,127.08,1308.8,1281.84,1252.52,1239.48,1233.1,1223.15,1212.3,1202.94,1229.48,1381.05,1518.02,1628.48,1708.48,1790.21,1905.99,1980.81,2075.62,2107.72,2159.52,2073.8,2019.53,1936.19,1812.49,1425.99,EGHTN_TIZN_TOTL_LVLH_POPNO,0.4158464339349134,0.29522746361106667,0.08382264494887805,0.012781733519785291,0.005028490646759382,0.8707845313459118,0.011130135832814567,0.28892610245401984
10020,영등포우체국,영등포구,202510,451596.83,6189.41000000003,445407.42,7825.2,7158.25,330.93,336.01,2567.93,2476.91,2246.74,2193.38,2263.65,2507.59,2869.84,3848.39,5299.19,6463.44,8469.23,11024.25,13045.84,14390.5,15086.61,15333.43,14944.21,14355.44,13543.26,11693.57,9054.96,6530.92,4783.61,2811.9,FFTN_TIZN_TOTL_LVLH_POPNO,0.602290016138566,0.2578114221687317,0.08522977048509943,0.017327845281819184,0.042290292899861984,0.9729489342125441,0.016859108599145835,0.13989856169270232
10021,영등포역5번 출구,영등포구,202510,322907.24,3079.23999999999,319828.0,5494.47,4837.28,342.28,314.9,5433.23,5068.44,4888.23,4736.62,4701.38,4659.96,4451.44,4297.78,4325.52,4573.15,4876.2,5325.73,5738.18,6108.51,6373.94,6443.92,6350.74,6418.58,6559.38,6626.66,6393.57,6090.26,5566.37,5859.47,NNTN_TIZN_TOTL_LVLH_POPNO,0.39592048852763,0.28131099410118937,0.119607532664661,0.017015629627877036,0.062295362428041276,0.9885466660114623,0.016820743938723702,0.3227685173711807
10022,영등포동주민센터,영등포구,202510,136040.34,21244.85,114795.49,2944.66,2759.83,47.05,137.79,3180.78,3193.67,3172.09,3165.02,3145.05,3099.54,3073.32,2961.73,2835.86,2761.3,2788.62,2851.19,2876.19,2875.0,2907.39,2896.89,2853.49,2824.23,2790.04,2796.57,2804.96,2785.36,2820.47,3212.97,TNTTH_TIZN_TOTL_LVLH_POPNO,0.3627235388181384,0.24352552286465884,0.06277125372708564,0.021645491329998146,0.015978075567298092,0.8289242221512841,0.017942472063801077,0.3937509383172026
10023,영등포구청역5번 출구,영등포구,202510,148279.35,26778.41,121500.94,4746.15,4530.41,50.37,166.38,3757.32,3723.97,3657.73,3630.56,3632.88,3744.87,3872.28,4270.63,4746.53,4909.68,5186.22,5362.34,5414.31,5440.61,5427.2,5447.99,5533.97,5689.44,5830.38,5644.14,5293.42,4998.63,4771.8,3920.82,EGHTN_TIZN_TOTL_LVLH_POPNO,0.4250085946764627,0.26740233234411154,0.04566859454505231,0.03200816566838201,0.010612812490123575,0.819508443685935,0.026230962032137314,0.3075890729794257
10024,망원1동주민센터,마포구,202510,348734.45,199529.07,149205.38,7398.12,7053.02,138.79,208.82,7135.13,7334.14,7267.4,7267.45,7200.67,6793.56,6498.25,6277.66,6016.18,6193.97,6570.95,7102.56,7433.77,7645.1,7825.48,8013.74,8256.97,8414.98,8619.95,8503.35,8121.72,7894.47,7822.03,7343.33,EGHTN_TIZN_TOTL_LVLH_POPNO,0.3799293291950716,0.2720590566829103,0.04698626137451137,0.02121419320632074,0.0187601715030305,0.4844690272663866,0.010277619546907396,0.3480116141220181
10025,서울여의도광장우체국,영등포구,202510,569967.13,0.0,569967.13,6163.41,5868.07,152.11,143.22,2355.17,2328.94,2297.69,2310.81,2646.63,2893.47,3401.33,5128.08,8234.07,9955.42,10590.85,11292.1,11243.73,10909.62,10575.51,10124.74,9477.29,8104.15,5882.87,5007.62,4284.05,3541.15,2909.58,2426.89,ELEVEN_TIZN_TOTL_LVLH_POPNO,0.6237987568563276,0.1626005531572908,0.047916656526176264,0.01081362358562677,0.024679519941071586,1.0,0.01081362358562677,0.21360068998638207
10026,합정역2번 출구,마포구,202510,212238.0,31301.54,180936.46,7001.25,5989.56,670.36,341.34,3724.08,3477.81,3532.79,3508.82,3452.57,3625.45,3821.71,4382.84,5365.95,6659.93,7715.49,8561.5,9288.07,9859.29,10282.72,10525.07,10741.55,10816.43,10523.44,9866.07,9100.67,8101.02,6853.59,4243.07,SVNTN_TIZN_TOTL_LVLH_POPNO,0.5025893303651319,0.2897570688745748,0.1445027673629709,0.032987730755095694,0.09574861631851456,0.8461774683092306,0.027913474495613416,0.20765360076029307
10027,홍대입구역3번 출구,마포구,202510,590681.12,150262.49,440418.63,23920.19,19120.76,3037.14,1762.33,17394.89,16527.19,16460.18,16179.37,15881.24,16029.75,16121.82,16901.89,17741.78,19987.64,22342.25,24917.74,27728.32,29924.02,31266.73,32139.73,33171.24,34178.32,34566.99,33238.71,30988.41,27881.31,23665.48,18849.6,EGHTN_TIZN_TOTL_LVLH_POPNO,0.44532807533941865,0.29471353176866266,0.20064514537718972,0.04049594474934293,0.1269697272471498,0.7805598534125356,0.031609508697349256,0.25995839289191874
10028,홍대입구역9번 출구,마포구,202510,1305824.66,210383.55,1095441.11,32954.19,26094.88,4770.21,2093.44,26982.78,25717.41,23844.74,22585.96,21390.98,19522.38,18425.92,18519.85,20653.18,24130.2,27173.91,31563.76,36201.97,40474.76,43380.94,45452.33,46855.3,47791.21,48809.33,48458.51,45916.74,41311.74,35215.95,30520.66,EGHTN_TIZN_TOTL_LVLH_POPNO,0.4337136917511913,0.3163898958669276,0.20827852239730363,0.02523630546232754,0.1447527613332326,0.8531097259559406,0.021529337637106655,0.24989641238188098
10029,응암동 감자국 거리,은평구,202510,76495.1,26509.37,49985.73,3148.98,3065.9,7.7,75.91,3013.98,2987.16,2969.41,2959.69,3021.15,2941.68,2895.44,2885.6,2891.02,3105.17,3197.72,3233.72,3210.49,3254.11,3313.26,3405.81,3444.29,3379.33,3365.95,3377.38,3328.7,3288.29,3203.22,2903.03,SXTN_TIZN_TOTL_LVLH_POPNO,0.39091849750448565,0.25757744563060037,0.026551454756778385,0.04116577401689781,0.0024452362352253747,0.6579940171103025,0.027086833012833503,0.3515040568649141
